task_id,exact_match,first_divergence_turn_a,root_cause_a,shorter_path_verdict_a,observation_used_correctly_a,reward_ordering_correct_a,responsible_reward_component_a,recommended_fix_a,first_divergence_turn_b,root_cause_b,shorter_path_verdict_b,observation_used_correctly_b,reward_ordering_correct_b,responsible_reward_component_b,recommended_fix_b,confidence_diff
00830acf-eda7-4310-8396-aff5f243860e,False,1,initial_tool_selection,invalid,,True,terminal_outcome,tool_selection_data,1,initial_tool_selection,not_applicable,,True,tool_name,tool_selection_data,0.09999999999999998
01cb6e48-053d-4af1-a500-bb21f6ee84bb,False,1,valid_shorter_path,valid,True,False,terminal_outcome,terminal_classification,1,initial_tool_selection,valid,True,False,call_count,credit_assignment,0.0
020f129c-336e-41a2-97a2-5f2dc6ddd3f4,False,,valid_shorter_path,valid,True,False,call_count,outcome_reward,,valid_shorter_path,valid,True,False,call_count,credit_assignment,0.0
02294fa2-cc75-4e2e-8fb7-1cea86c7e1a6,False,1,initial_tool_selection,invalid,,False,terminal_outcome,outcome_reward,1,argument_values,invalid,False,False,argument_values,observation_grounding_data,0.0
0308c795-2a66-4896-b45f-cf509a266c3e,False,2,later_tool_selection,invalid,True,True,tool_name,tool_selection_data,2,argument_values,invalid,True,True,argument_values,observation_grounding_data,0.0
0335ed3e-e613-420b-a07a-9d481b2a791e,False,2,valid_shorter_path,valid,True,False,call_count,outcome_reward,2,wrong_final_answer,not_applicable,True,False,terminal_outcome,outcome_reward,0.09999999999999998
037ab7a7-2503-4a04-9bde-f2d81c184790,True,1,argument_values,valid,True,False,call_count,credit_assignment,1,argument_values,valid,True,False,call_count,credit_assignment,0.0
04bd68f8-3e77-4cda-b43f-c42616d95d33,False,1,valid_shorter_path,valid,True,False,call_count,credit_assignment,1,argument_values,invalid,True,False,argument_values,process_reward,0.04999999999999993
05ec87ae-0659-42c3-82e8-a0645c4a70df,False,,valid_shorter_path,valid,True,False,call_count,credit_assignment,,valid_shorter_path,valid,,True,none,no_change,0.0
064e9802-1efb-452f-9e16-22dcb17606a9,False,1,initial_tool_selection,not_applicable,,True,tool_name,tool_selection_data,,initial_tool_selection,not_applicable,,True,tool_name,tool_selection_data,0.0
07421ac8-4030-4262-a84f-8f2ef84d6010,False,2,argument_values,not_applicable,True,False,terminal_outcome,outcome_reward,2,wrong_final_answer,not_applicable,True,False,terminal_outcome,terminal_classification,0.09999999999999998
0a5bee61-0e2f-49fc-a0d1-e303c980f6de,False,,initial_tool_selection,invalid,,True,terminal_outcome,tool_selection_data,,unclear,not_applicable,,,unclear,unclear,1.0
0c2bb42b-09bd-41c8-b1c3-a3e0aec4c077,False,1,initial_tool_selection,valid,True,True,call_count,credit_assignment,1,initial_tool_selection,valid,,True,tool_name,no_change,0.04999999999999993
0c3f5a6d-1aec-4d52-9310-c0e0ab651fef,True,1,premature_stop,invalid,,True,call_count,tool_selection_data,1,premature_stop,invalid,,True,call_count,tool_selection_data,0.050000000000000044
0edcb8a5-990e-4830-b55e-f920ac2ec474,False,1,valid_shorter_path,valid,True,False,call_count,credit_assignment,1,reward_mismatch,valid,True,False,call_count,credit_assignment,0.0
0f1d3aca-4e40-45a9-b1e8-9ef76e1e1cd2,True,3,premature_stop,invalid,True,True,call_count,credit_assignment,3,premature_stop,invalid,True,True,call_count,credit_assignment,0.0
0feb53d5-e450-4a1e-b0ad-13bc7097a92e,False,6,valid_shorter_path,valid,True,False,call_count,credit_assignment,6,valid_shorter_path,valid,True,False,argument_values,credit_assignment,0.0
1067e243-98e4-448a-a38b-2d916c16908a,False,1,initial_tool_selection,invalid,,True,call_count,tool_selection_data,,wrong_final_answer,not_applicable,,True,terminal_outcome,outcome_reward,0.09999999999999998
1163aa42-d931-4ae3-a9af-3800e1200319,False,2,valid_shorter_path,valid,True,False,argument_values,credit_assignment,,valid_shorter_path,valid,True,False,argument_values,credit_assignment,0.09999999999999998
11a47ffa-0eea-4162-9902-1bddc3740bec,False,1,initial_tool_selection,valid,True,False,tool_name,outcome_reward,0,initial_tool_selection,not_applicable,,True,call_count,tool_selection_data,0.04999999999999993
12dc2f74-7b39-4722-a840-bca49488c27e,True,2,valid_shorter_path,valid,True,False,terminal_outcome,outcome_reward,2,valid_shorter_path,valid,True,False,terminal_outcome,outcome_reward,0.0
13d0e964-c728-4490-8094-0b2ec84a6f40,False,1,initial_tool_selection,not_applicable,False,False,tool_name,tool_selection_data,1,initial_tool_selection,not_applicable,False,True,tool_name,tool_selection_data,0.0
13d599b3-0a9f-4856-8fbf-2fd376400988,False,1,wrong_final_answer,not_applicable,True,True,terminal_outcome,terminal_classification,,wrong_final_answer,not_applicable,,False,terminal_outcome,terminal_classification,0.09999999999999998
1486b674-af4e-4bd4-9a48-2bf0f4aa9995,False,1,premature_stop,valid,True,True,call_count,no_change,1,initial_tool_selection,invalid,True,True,terminal_outcome,tool_selection_data,0.0
1522c983-00c5-48b6-be88-8922f76c3dbe,False,1,initial_tool_selection,not_applicable,,False,tool_name,tool_selection_data,1,reward_mismatch,not_applicable,True,False,tool_name,outcome_reward,0.09999999999999998
15475c99-4877-45c2-acb6-82b1b8fda842,False,2,argument_values,valid,True,False,argument_values,no_change,2,valid_shorter_path,valid,True,False,argument_values,process_reward,0.0
1765d48e-b1d2-4dd2-bdf5-cc49496ac350,False,16,premature_stop,valid,True,True,terminal_outcome,targeted_semantic_sft,16,premature_stop,invalid,False,True,terminal_outcome,terminal_classification,0.09999999999999998
196be0c3-aed1-41dd-a972-31a5908720cc,False,2,valid_shorter_path,valid,True,False,call_count,credit_assignment,2,observation_misinterpreted,invalid,False,True,argument_values,observation_grounding_data,0.0
19c019ad-3316-4149-8b01-f3385a280958,False,1,initial_tool_selection,invalid,,True,executability,tool_selection_data,1,initial_tool_selection,invalid,,False,tool_name,tool_selection_data,0.0
1ab63375-0be1-47c1-bc2f-64b9b6271391,False,1,wrong_final_answer,invalid,,True,terminal_outcome,terminal_classification,1,initial_tool_selection,invalid,,True,terminal_outcome,tool_selection_data,0.09999999999999998
1b79e333-e3fc-4292-9d59-987fc3b606f8,False,1,initial_tool_selection,invalid,True,True,terminal_outcome,tool_selection_data,1,later_tool_selection,invalid,True,True,terminal_outcome,outcome_reward,0.0
1c15787f-a7d3-48be-a715-23befba14fe3,False,1,later_tool_selection,valid,True,True,terminal_outcome,no_change,1,premature_stop,invalid,True,True,terminal_outcome,no_change,0.09999999999999998
1cea2017-6b5e-4d6c-969e-9d72f58cdc7a,True,1,argument_values,not_applicable,False,True,argument_values,observation_grounding_data,1,argument_values,not_applicable,False,True,argument_values,observation_grounding_data,0.09999999999999998
1ddeac74-83ee-4119-9100-83133001b0f5,True,1,initial_tool_selection,not_applicable,True,True,tool_name,tool_selection_data,1,initial_tool_selection,not_applicable,True,True,tool_name,tool_selection_data,0.0
1ff34864-aaf4-45ad-9132-b96cc6de3c63,True,2,valid_shorter_path,valid,True,False,argument_values,credit_assignment,2,valid_shorter_path,valid,True,False,argument_values,credit_assignment,0.09999999999999998
2092563a-202f-4984-b18b-d971f42a0f6e,True,2,valid_shorter_path,valid,True,False,call_count,credit_assignment,2,valid_shorter_path,valid,True,False,call_count,credit_assignment,0.0
215a654f-549a-47c1-b1ce-772fc2910045,False,1,argument_values,invalid,False,True,argument_values,targeted_semantic_sft,1,wrong_final_answer,invalid,False,True,terminal_outcome,targeted_semantic_sft,0.0
22b03741-ca95-407c-a30c-e6cbbe90436d,False,1,valid_shorter_path,valid,True,False,call_count,credit_assignment,1,valid_shorter_path,valid,True,False,tool_name,process_reward,0.0
22b583c4-f1f1-4f08-9868-46f3a5cc50fe,False,,valid_shorter_path,valid,,True,call_count,credit_assignment,,unclear,not_applicable,,,unclear,unclear,0.9
236711c7-5a1c-4bf5-b578-6e965b98a085,False,1,premature_stop,not_applicable,,True,terminal_outcome,terminal_classification,1,premature_stop,invalid,,True,executability,targeted_semantic_sft,0.09999999999999998
23fb2017-6788-4dc2-a28a-403c6b473adb,False,2,argument_values,valid,True,True,argument_values,targeted_semantic_sft,2,valid_shorter_path,invalid,True,True,process_total,targeted_semantic_sft,0.0
262ed5c8-1e4b-45b0-ae60-13ef3433b303,True,2,valid_shorter_path,valid,True,False,call_count,credit_assignment,2,valid_shorter_path,valid,True,False,call_count,credit_assignment,0.09999999999999998
2795c8df-921d-4311-b6d4-ece1204f2ef5,False,3,premature_stop,valid,True,True,terminal_outcome,no_change,3,premature_stop,invalid,True,True,terminal_outcome,terminal_classification,0.09999999999999998
2804303f-3831-4977-8b0f-8298c475c032,False,2,argument_values,not_applicable,True,True,argument_values,observation_grounding_data,2,wrong_final_answer,not_applicable,,True,terminal_outcome,outcome_reward,0.0
28cc5dca-3281-4afc-949b-f41784c210a4,False,,initial_tool_selection,invalid,,True,tool_name,tool_selection_data,,unclear,not_applicable,,,none,no_change,0.0
2a028d50-5021-4cbd-9401-e9a949adc1fa,False,1,argument_values,not_applicable,True,False,terminal_outcome,outcome_reward,1,reward_mismatch,valid,False,False,terminal_outcome,outcome_reward,0.0
2a1226e5-e74e-4464-a887-213f4acefc82,False,3,argument_values,not_applicable,False,False,argument_values,observation_grounding_data,3,argument_values,not_applicable,False,True,argument_values,observation_grounding_data,0.09999999999999998
2a9516d7-fe85-49c4-9d22-d31f22721ded,False,2,wrong_output_field,not_applicable,True,False,terminal_outcome,terminal_classification,2,wrong_final_answer,not_applicable,True,False,terminal_outcome,terminal_classification,0.09999999999999998
2b2c1931-a5c2-44a9-8283-08a4067256c2,False,1,initial_tool_selection,valid,True,False,call_count,credit_assignment,1,initial_tool_selection,valid,True,False,tool_name,credit_assignment,0.0
2efdd7cf-4643-427e-bcf3-7288f77d6a9d,False,1,valid_shorter_path,valid,True,True,call_count,credit_assignment,0,initial_tool_selection,valid,True,False,call_count,tool_selection_data,0.0
3088e2b6-0018-431d-90f5-6b138ba676f2,False,1,initial_tool_selection,invalid,True,True,terminal_outcome,tool_selection_data,1,initial_tool_selection,invalid,False,True,tool_name,tool_selection_data,0.0
31362efe-b619-4718-9201-99cd47a8295f,False,1,valid_shorter_path,valid,True,True,call_count,targeted_semantic_sft,0,initial_tool_selection,valid,True,True,call_count,no_change,0.09999999999999998
3171c089-3152-48db-90be-f576f555dfd6,False,,wrong_final_answer,not_applicable,True,True,terminal_outcome,terminal_classification,,wrong_final_answer,not_applicable,,,terminal_outcome,terminal_classification,0.0
325ca0e4-f4f2-4f1e-bf66-8d362f0a2b95,False,1,valid_shorter_path,valid,True,False,call_count,outcome_reward,1,valid_shorter_path,valid,True,False,call_count,credit_assignment,0.0
32881593-1d74-40fd-9d4e-9ea812030a17,False,1,initial_tool_selection,invalid,,True,call_count,tool_selection_data,1,unclear,not_applicable,,True,none,no_change,0.0
3481e153-2b15-4af0-ab73-b7785bfd7d77,True,4,wrong_final_answer,valid,True,False,terminal_outcome,outcome_reward,4,wrong_final_answer,valid,True,False,terminal_outcome,outcome_reward,0.0
350061df-93df-43db-87e8-91a9f78dab00,False,2,later_tool_selection,not_applicable,True,True,tool_name,tool_selection_data,2,executable_wrong_global_plan,not_applicable,True,True,terminal_outcome,outcome_reward,0.0
35790603-7df1-491c-84e1-9a27f4fc5717,False,1,argument_values,invalid,False,False,argument_values,tool_selection_data,1,initial_tool_selection,invalid,False,True,tool_name,tool_selection_data,0.0
