sample_id,outcome,n_gold,motif,answer_type,n_offered,ref_density,prompt_chars,c0_fail_class,d1_fail_class,c0_win,d1_win,c0_f1_func,d1_f1_func,c0_exec,d1_exec,question
0a78c579-29ef-4c96-918c-e8df417194dc,gained,4,fan_in,float,10,0.375,49,too_few_calls,success,0,1,0.0,0.6667,0,1,"If y > 0, (2y)/20 + (3y)/10 is what percent of y?"
0f0a365f-d57e-4682-891b-b43b9d244d33,gained,2,linear,int,17,0.5,138,too_few_calls,success,0,1,0.0,1.0,0,1,"Calculate the square root of the number 16, rounded to the nearest integer. Then, determine if the resulting number is a Fibonacci number."
100cb8c9-03ec-428f-ad0c-75e2fc296aaa,gained,3,linear,float,10,0.3333,345,wrong_args,success,0,1,0.8,0.8571,0,1,tough and tricky questions : work / rate problems . a group of 4 junior lawyers require 7 hours to complete a legal research assignment . how many hours would it take a group of 3 legal assistants to complete the same research assignment as
123ce206-69a4-4901-93c1-ec1089eb8660,gained,6,fan_in,float,9,0.5,304,too_few_calls,success,0,1,0.2857,0.6667,1,1,An engine moves at the speed of 90 kmph without any coaches attached to it.Speed of the train reduces at the rate that varies directly as the square root of the number of coaches attached.When 9 coaches are attached speed decreases to 78 km
13cbad3d-d768-4d4d-bfce-542b6af4c28c,gained,2,linear,float,10,0.25,131,too_few_calls,success,0,1,0.0,1.0,0,1,We bought 85 hats at the store. Blue hats cost $6 and green hats cost $7. The total price was $560. How many green hats did we buy?
174a02ed-7ae5-4508-9754-d9408a886790,gained,5,linear,float,11,0.4,94,too_few_calls,success,0,1,0.3333,0.5,1,1,"If the sides of a rectangle are increased by 25%, what is the percentage increase in the area?"
1a23d01d-1bf7-4680-bcfc-784c194f031c,gained,2,linear,string,17,0.5,353,too_few_calls,success,0,1,0.0,1.0,0,1,"I want to convert a list of strings ['apple', 'banana', 'cherry'] to a single string with each item separated by a comma and space, and an 'and' before the last item if there are more than two items. Then, I want to modify the resulting str"
1c055a2e-5491-46d7-aa89-b52d6c44c2d4,gained,3,fan_in,float,9,0.3333,190,parse,success,0,1,0.0,0.6667,0,1,"A and B can together finish a work in 10days. They worked together for 5days and then B left. After another 5days, A finished the remaining work. In how many days A alone can finish the job?"
1ddeac74-83ee-4119-9100-83133001b0f5,gained,5,linear,float,9,0.4,129,too_few_calls,success,0,1,0.8889,1.0,1,1,27 men working 8 hours per day dig 30 m deep. How many extra men should be put to dig to a depth of 50 m working 6 hours per day?
21d13279-bf86-4ffe-92fd-c65f65389f43,gained,2,linear,list,18,0.5,259,too_few_calls,success,0,1,0.0,0.8,0,1,"Given a list of strings ['apple', 'banana', 'cherry', 'date', 'elderberry'], group them by their first character, then sort the resulting dictionary by length of the values in ascending order, and for dictionaries of equal length, sort them"
24ae4dc9-6d14-426d-8a74-b148e2546e4d,gained,2,linear,string,18,0.5,152,too_few_calls,success,0,1,0.0,1.0,0,1,"Generate a method name from the input parameters ['param1', 'param2', 'param3']. Then, escape any reserved Python keywords in the generated method name."
266ec704-de4a-42a9-b0fe-5bded7b4ed40,gained,2,linear,int,18,0.3333,145,too_few_calls,success,0,1,0.0,1.0,0,1,"Find the last occurrence of the substring 'hello' in the string 'hello world hello', then calculate the sum of the digits in the resulting index."
2b820d2a-4e43-433b-939c-69e6e8719c57,gained,4,fan_in,float,11,0.375,87,too_few_calls,success,0,1,0.3333,0.5714,1,1,"If n is a prime number greater than 5, what is the remainder when n^2 is divided by 12?"
2b837d55-e28b-4101-aba9-0f5bb4a2bfdf,gained,2,linear,string,20,0.3333,160,too_few_calls,success,0,1,0.0,1.0,0,1,"I want to generate a hyperlink with the title ""IBM"" and URL ""https://www.ibm.com"", then reverse the hyperlink string and append a message indicating its length."
2d151251-59a4-4470-a5ce-2b961771cce9,gained,3,fan_in,float,10,0.3333,438,too_few_calls,success,0,1,0.0,0.8,0,1,"In the standard formulation of a flavored drink the ratio by volume of flavoring to corn syrup to water is 1 : 12 : 30. In the ""sport"" formulation, the ratio of flavoring to corn syrup is three times as great as in the standard formulation,"
2e458b03-c3d8-4794-8fc6-25f505ecbdc1,gained,3,linear,float,10,0.3333,178,too_few_calls,success,0,1,0.0,0.8,0,1,"A batsman had a certain average of runs for 16 innings. In the 17th innings, he made a score of 87 runs thereby increasing his average by 3. What is his average after 17 innings?"
36ac0316-5e89-40e1-b85a-3dfc02daf78e,gained,8,fan_in,float,10,0.4375,138,too_few_calls,success,0,1,0.4,0.7692,1,1,A reduction of 10% in the price of tea enables a dealer to purchase 25 kg more tea for Rs. 22500. What is the reduced price per kg of tea?
36ba10c3-3023-4b26-b449-84787b535d77,gained,4,fan_in,float,9,0.375,103,too_many_calls,success,0,1,0.6667,0.4444,1,1,A dealer purchases 15 articles for Rs. 25 and sells 12 articles for Rs. 35. Find the profit percentage?
38e7c22f-c209-4f49-8bbd-08bc3cb08203,gained,3,linear,float,9,0.3333,45,too_few_calls,success,0,1,0.0,0.8,0,1,"If 2^2n + 2^2n + 2^2n + 2^2n = 4^20, then n ="
3ca6bc7f-564f-40d0-ac57-c818298f26d5,gained,2,linear,list,18,0.5,169,too_few_calls,success,0,1,0.0,1.0,0,1,"Given a list of lists [[1, 2, 3], [4, 5, 6], [7, 8, 9]], select the first and last elements of each sub-list and then sort the elements in each list within the new list."
449a8672-1f24-4e89-9e8d-70661d89a8eb,gained,4,fan_in,float,10,0.375,191,too_few_calls,success,0,1,0.0,0.3333,0,1,A cistern can be filled by a tap in 5 hours while it can be emptied by another tap in 10hours. If both the taps are opened simultaneously then after how much time will the cistern get filled?
4511ccb4-e31c-4cc8-b585-04dda07d21cf,gained,2,linear,float,18,0.3333,157,too_few_calls,success,0,1,0.0,1.0,0,1,"Calculate the moving average of the time series data [1, 2, 3, 4, 5] with a window size of 3. Then, extract the first non-null value from the resulting list."
4812e166-3663-4ebe-9671-daa88afb4e1d,gained,5,fan_in,float,9,0.4,250,too_few_calls,success,0,1,0.0,0.5714,0,1,"Boys and girls in a class are writing letters. There are twice as many girls as boys in the class, and each girl writes 3 more letters than each boy. If boys write 24 of the 90 total letters written by the class, how many letters does each "
527e54a6-fd36-4274-b93c-a57e88c04eb6,gained,5,fan_in,float,10,0.4,119,too_few_calls,success,0,1,0.0,1.0,0,1,The average of 13 result is 60. Average of the first 7 of them is 57 and that of the last 7 is 61. Find the 8th result?
53a4529b-b5be-4be5-9daf-fdb735bea3eb,gained,2,linear,bool,17,0.25,147,too_few_calls,success,0,1,0.0,1.0,0,1,"I have a number 100. I want to calculate its square root using the Newton method. Then, I want to check if the square root is in the range [9, 11]."
53be30fe-7e4c-4ff3-ac84-f26073bbe1d2,gained,6,fan_in,float,8,0.4167,224,too_few_calls,success,0,1,0.0,0.4444,0,1,"John purchased some shirts and trousers for $800. He paid $400 less for the shirts than he did for the trousers. If he bought 5 shirts and the cost of a shirt is $20 less than that of a trouser, how many trousers did he buy?"
56ae2af3-97e8-47a4-8510-7a3af9dd3177,gained,4,fan_in,float,9,0.375,118,too_few_calls,success,0,1,0.0,0.6667,0,1,At 6′o a clock ticks 6 times. The time between first and last ticks is 20 seconds. How long does it tick at 12′o clock
577a4547-9566-49d5-a1f9-8ec7720aa38a,gained,2,linear,string,19,0.5,104,too_few_calls,success,0,1,0.0,1.0,0,1,"Reverse the vowels in the string ""Hello, World!"" and then calculate the MD5 hash of the reversed string."
