c0_tool_seq,call_bucket,combined_ood_score,d1_tool_seq,depth,distractor_hardness,divergence_category,exact_tool_coverage_rate,failure_transition,first_divergent_turn,kind,offered_tool_count,reference_density,sample_id,topology_hash
"[""divide"", ""divide"", ""add""]",4,0.0,"[""divide"", ""multiply""]",3,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_PARSE_INVALID -> SUCCESS_ALTERNATIVE_VALID,0,gained,10,0.375,0a78c579-29ef-4c96-918c-e8df417194dc,topo_bd3dd51ec1a9
"[""sqrt_rounded"", ""fib"", ""fib""]",2,0.625,"[""sqrt_rounded"", ""fib""]",2,0.0,TOOL_COUNT_DIFFERENCE,0.0,FAIL_WRONG_TOOL_SEQUENCE -> SUCCESS_STRICT_GOLD,0,gained,17,0.5,0f0a365f-d57e-4682-891b-b43b9d244d33,topo_fdeb50f24873
"[""power""]",5,0.0,"[""multiply"", ""subtract"", ""multiply""]",5,0.0,DIFFERENT_FIRST_TOOL,1.0,FAIL_WRONG_FIRST_TOOL -> SUCCESS_ALTERNATIVE_VALID,0,gained,11,0.4,174a02ed-7ae5-4508-9754-d9408a886790,topo_d228dd6db98a
"[""divide"", ""divide"", ""multiply"", ""multiply"", ""multiply"", ""multiply""]",5,0.0,"[""multiply"", ""divide"", ""multiply"", ""divide"", ""subtract""]",5,0.0,DIFFERENT_FIRST_TOOL,1.0,FAIL_WRONG_FIRST_TOOL -> SUCCESS_ALTERNATIVE_VALID,0,gained,9,0.4,1ddeac74-83ee-4119-9100-83133001b0f5,topo_d228dd6db98a
"[""group_by_first_char"", ""sort_by_len_and_lex"", ""group_by_first_char""]",2,0.625,"[""group_by_first_char"", ""sort_by_len_and_lex"", ""sort_by_len_and_lex""]",2,0.0,DIFFERENT_LATER_TOOL,0.0,FAIL_WRONG_TOOL_SEQUENCE -> SUCCESS_ALTERNATIVE_VALID,2,gained,18,0.166667,21d13279-bf86-4ffe-92fd-c65f65389f43,topo_fdeb50f24873
"[""multiply"", ""add"", ""divide""]",4,0.0,"[""multiply"", ""add"", ""subtract"", ""add"", ""divide""]",4,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_EXECUTOR_ERROR -> SUCCESS_ALTERNATIVE_VALID,0,gained,10,0.375,24a1101f-819c-4ca7-a4e4-e7dee741c4f6,topo_5296967693d8
"[""divide""]",4,0.0,"[""power"", ""power"", ""subtract"", ""sqrt""]",3,0.0,DIFFERENT_FIRST_TOOL,1.0,FAIL_EXECUTOR_ERROR -> SUCCESS_STRICT_GOLD,0,gained,10,0.428571,2b2c1931-a5c2-44a9-8283-08a4067256c2,topo_bd3dd51ec1a9
[],3,0.0,"[""subtract"", ""divide""]",3,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_NO_TOOL_CALL -> SUCCESS_ALTERNATIVE_VALID,0,gained,9,0.333333,38e7c22f-c209-4f49-8bbd-08bc3cb08203,topo_1c8dbe1830b2
[],5,0.0,"[""divide""]",5,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_NO_TOOL_CALL -> SUCCESS_ALTERNATIVE_VALID,0,gained,10,0.4,42143b4c-1a3d-4f30-a3a6-c5e10facc1fe,topo_d228dd6db98a
[],3,0.0,"[""divide""]",2,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_NO_TOOL_CALL -> SUCCESS_ALTERNATIVE_VALID,0,gained,8,0.333333,58f0da42-f029-4773-86a1-dc7548859054,topo_911586a55488
"[""divide"", ""multiply"", ""divide"", ""multiply"", ""subtract"", ""subtract"", ""add""]",6+,0.0,"[""divide"", ""multiply"", ""subtract"", ""divide"", ""multiply"", ""add""]",4,0.0,TOOL_COUNT_DIFFERENCE,1.0,FAIL_WRONG_FIRST_TOOL -> SUCCESS_ALTERNATIVE_VALID,2,gained,10,0.428571,603b4a8b-a4dc-4b16-bb35-ab167c6c45c7,topo_63f405a71afa
"[""subtract"", ""divide""]",3,0.0,"[""divide"", ""multiply""]",3,0.0,DIFFERENT_FIRST_TOOL,1.0,FAIL_WRONG_FIRST_TOOL -> SUCCESS_ALTERNATIVE_VALID,0,gained,10,0.333333,6c0d717a-af97-47db-ad9d-45255f829e0d,topo_1c8dbe1830b2
