task_id,transition,gold_motif,gold_call_count,C0_calls,E1_calls,E2_calls,longest_common_prefix,first_changed_turn,change_type,C0_failure,E2_failure,C0_final_outcome,E2_final_outcome,R_train_C0,R_train_E2,R_class_C0,R_class_E2
01cb6e48-053d-4af1-a500-bb21f6ee84bb,lost,long_chain,6,2,1,3,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,"correct keys, wrong argument values",win,loss,0.193333,0.245833,too_few_calls,too_few_calls
02294fa2-cc75-4e2e-8fb7-1cea86c7e1a6,gained,fan_in,4,1,1,4,1,1,"stejný tool, jiné values",executable trajectory ending wrong result,success,loss,win,0.1525,0.209375,too_few_calls,wrong_tool
0335ed3e-e613-420b-a07a-9d481b2a791e,gained,long_chain,25,3,3,3,2,2,"jiná, ale validní cesta",wrong tool,success,loss,win,0.184,0.184,too_few_calls,too_few_calls
037ab7a7-2503-4a04-9bde-f2d81c184790,gained,fan_in,4,2,2,1,0,1,"jiná, ale validní cesta","correct keys, wrong argument values",success,loss,win,0.253125,0.1875,too_few_calls,too_few_calls
07421ac8-4030-4262-a84f-8f2ef84d6010,lost,linear_dependency,2,2,2,2,2,2,"stejný tool, jiné values",success,executable trajectory ending wrong result,win,loss,0.5375,0.78,correct_tool_wrong_args,executable_wrong_final
0a31a4fd-fc27-4339-80b7-9a07e32f60d0,gained,fan_in,3,3,4,4,0,1,"jiná, ale validní cesta",wrong tool,success,loss,win,0.241667,0.241667,wrong_tool,wrong_tool
0af2696a-9970-4e55-ad31-57e14ca65f20,gained,fan_in,4,4,3,3,3,1,"jiná, ale validní cesta",executable trajectory ending wrong result,success,loss,win,0.238542,0.253125,wrong_tool,too_few_calls
0be783b8-30c8-4b6d-a8cd-100d6e4a999d,gained,linear_dependency,4,3,2,4,1,1,"jiná, ale validní cesta","correct keys, wrong argument values",success,loss,win,0.24,0.259375,too_few_calls,wrong_tool
0c2bb42b-09bd-41c8-b1c3-a3e0aec4c077,lost,linear_dependency,3,1,3,0,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,no tool call,win,loss,0.193333,0.0,too_few_calls,clipped
0c3f5a6d-1aec-4d52-9310-c0e0ab651fef,lost,linear_dependency,2,2,2,0,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,no tool call,win,loss,0.78,0.02,executable_wrong_final,no_tool_call
0f0b7dac-2c2a-4919-8b62-41b964f06856,gained,long_chain,5,6,6,6,4,5,změněný pozdější tool,executable trajectory ending wrong result,success,loss,win,0.249583,0.259375,wrong_tool,wrong_tool
11a47ffa-0eea-4162-9902-1bddc3740bec,gained,fan_in,3,0,0,3,0,1,"jiná, ale validní cesta",no tool call,success,loss,win,0.02,0.275,no_tool_call,wrong_tool
123ce206-69a4-4901-93c1-ec1089eb8660,gained,long_chain,6,1,3,3,1,2,"jiná, ale validní cesta",wrong tool,success,loss,win,0.205,0.245833,too_few_calls,too_few_calls
12dc2f74-7b39-4722-a840-bca49488c27e,gained,long_chain,8,4,9,2,1,2,změněný pozdější tool,"correct keys, wrong argument values",parse/format error,loss,win,0.218125,0.0,too_few_calls,parse_error
1486b674-af4e-4bd4-9a48-2bf0f4aa9995,lost,long_chain,7,2,1,1,1,1,"kratší než gold trace (metrika, ne nutně chyba)",success,wrong tool,win,loss,0.2175,0.19,too_few_calls,too_few_calls
1522c983-00c5-48b6-be88-8922f76c3dbe,gained,linear_dependency,2,0,2,2,0,1,"jiná, ale validní cesta",parse/format error,success,loss,win,0.0,0.25,parse_error,wrong_tool
1765d48e-b1d2-4dd2-bdf5-cc49496ac350,lost,long_chain,24,16,15,15,15,16,"kratší než gold trace (metrika, ne nutně chyba)",success,wrong tool,win,loss,0.245833,0.242188,too_few_calls,too_few_calls
196be0c3-aed1-41dd-a972-31a5908720cc,gained,long_chain,5,2,4,3,2,2,"stejný tool, jiné values",parse/format error,success,loss,win,0.0,0.2155,parse_error,too_few_calls
19a9aa68-70f0-4b34-9729-8fa8ed17ba46,gained,long_chain,8,1,1,1,0,1,"jiná, ale validní cesta",executable trajectory ending wrong result,success,loss,win,0.14375,0.17875,too_few_calls,too_few_calls
1a3dfe3d-d7c2-41f8-8b42-cc84a645c308,gained,linear_dependency,3,3,3,2,0,1,"jiná, ale validní cesta",wrong tool,success,loss,win,0.25,0.26625,wrong_tool,too_few_calls
1ab63375-0be1-47c1-bc2f-64b9b6271391,lost,linear_dependency,2,3,3,1,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,wrong tool,win,loss,0.23125,0.205,wrong_tool,too_few_calls
1b79e333-e3fc-4292-9d59-987fc3b606f8,lost,long_chain,26,9,9,4,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,wrong tool,win,loss,0.246165,0.190192,too_few_calls,too_few_calls
1c15787f-a7d3-48be-a715-23befba14fe3,lost,long_chain,6,3,1,1,1,1,"kratší než gold trace (metrika, ne nutně chyba)",success,parse/format error,win,loss,0.216667,0.0,too_few_calls,parse_error
1ddeac74-83ee-4119-9100-83133001b0f5,gained,long_chain,5,6,4,5,0,1,"jiná, ale validní cesta","correct keys, wrong argument values",success,loss,win,0.25375,0.553125,wrong_tool,correct_tool_wrong_args
236711c7-5a1c-4bf5-b578-6e965b98a085,lost,linear_dependency,3,3,3,0,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,parse/format error,win,loss,0.547917,0.0,correct_tool_wrong_args,parse_error
23fb2017-6788-4dc2-a28a-403c6b473adb,lost,fan_in,4,2,1,2,2,2,"kratší než gold trace (metrika, ne nutně chyba)",success,"correct keys, wrong argument values",win,loss,0.2225,0.2225,too_few_calls,too_few_calls
24bb3a2d-ec01-49dd-8441-44f3134679b8,gained,long_chain,6,5,5,6,3,3,nesprávné použití observation,"correct keys, wrong argument values",success,loss,win,0.343833,0.269167,too_few_calls,wrong_tool
2795c8df-921d-4311-b6d4-ece1204f2ef5,lost,long_chain,7,3,2,2,2,3,"kratší než gold trace (metrika, ne nutně chyba)",success,parse/format error,win,loss,0.215,0.0,too_few_calls,parse_error
2a028d50-5021-4cbd-9401-e9a949adc1fa,lost,linear_dependency,3,3,2,3,0,1,změněný první tool,success,"correct tool, wrong argument keys",win,loss,0.241667,0.516667,wrong_tool,correct_tool_wrong_args
2a1226e5-e74e-4464-a887-213f4acefc82,gained,linear_dependency,3,3,3,3,3,3,"jiná, ale validní cesta",executable trajectory ending wrong result,success,loss,win,0.241667,0.272917,wrong_tool,wrong_tool
2a9516d7-fe85-49c4-9d22-d31f22721ded,lost,linear_dependency,2,2,2,2,2,2,"stejný tool, jiné values",success,executable trajectory ending wrong result,win,loss,0.54375,0.78,correct_tool_wrong_args,executable_wrong_final
2b2c1931-a5c2-44a9-8283-08a4067256c2,lost,fan_in,4,5,4,1,1,1,"kratší než gold trace (metrika, ne nutně chyba)",success,executable trajectory ending wrong result,win,loss,0.234375,0.1525,wrong_tool,too_few_calls
2efdd7cf-4643-427e-bcf3-7288f77d6a9d,lost,fan_in,4,1,0,0,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,no tool call,win,loss,0.1875,0.02,too_few_calls,no_tool_call
3088e2b6-0018-431d-90f5-6b138ba676f2,lost,fan_in,4,2,2,1,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,wrong tool,win,loss,0.23125,0.19625,too_few_calls,too_few_calls
31362efe-b619-4718-9201-99cd47a8295f,lost,linear_dependency,3,1,0,0,0,1,"kratší než gold trace (metrika, ne nutně chyba)",success,no tool call,win,loss,0.193333,0.02,too_few_calls,no_tool_call
337b5e4f-294a-41e2-af72-79dcbf1fccde,gained,long_chain,7,2,3,3,2,1,"jiná, ale validní cesta",wrong tool,success,loss,win,0.2025,0.2125,too_few_calls,too_few_calls
3481e153-2b15-4af0-ab73-b7785bfd7d77,gained,long_chain,7,4,3,3,3,4,"jiná, ale validní cesta","correct keys, wrong argument values",success,loss,win,0.2375,0.21,too_few_calls,too_few_calls
35790603-7df1-491c-84e1-9a27f4fc5717,gained,linear_dependency,3,2,3,3,0,1,"jiná, ale validní cesta",executable trajectory ending wrong result,success,loss,win,0.205,0.225,too_few_calls,wrong_tool
35adf4ad-dada-47dd-8c92-1af9100d6a8a,lost,long_chain,5,4,3,3,3,4,"kratší než gold trace (metrika, ne nutně chyba)",success,"correct keys, wrong argument values",win,loss,0.233,0.219,too_few_calls,too_few_calls
35e5e6c5-b079-45ed-a693-0a5eadbbb9a6,lost,long_chain,9,3,4,5,1,2,"kratší než gold trace (metrika, ne nutně chyba)",success,"correct keys, wrong argument values",win,loss,0.220799,0.242188,too_few_calls,too_few_calls
