c0_executable,c0_execution_error_category,c0_final_answer_pass,c0_n_calls,c0_official_win,c0_parse_valid,c0_pred_answer,c0_stop_reason,c0_tool_seq,d1_executable,d1_execution_error_category,d1_final_answer_pass,d1_n_calls,d1_official_win,d1_parse_valid,d1_pred_answer,d1_stop_reason,d1_tool_seq,description,divergence_category,first_divergent_turn,outcome,sample_id
True,none,True,3,True,True,17.0,terminal,"[""add"", ""add"", ""divide""]",True,none,True,3,True,True,17.0,terminal,"[""add"", ""add"", ""divide""]","IDENTICAL_TEXT; tools C0=['add', 'add', 'divide'] D1=['add', 'add', 'divide']; stop C0=terminal D1=terminal; exec C0=True/none D1=True/none; ans_pass C0=True D1=True",IDENTICAL_TEXT,-1,win_to_win,000b6bed-2a29-4199-a359-0e107922a1ff
False,executor_other,True,2,False,True,,terminal,"[""find_negative"", ""format_number""]",False,executor_other,True,2,False,True,,terminal,"[""find_negative"", ""format_number""]","IDENTICAL_CALLS_DIFFERENT_TEXT; tools C0=['find_negative', 'format_number'] D1=['find_negative', 'format_number']; stop C0=terminal D1=terminal; exec C0=False/executor_other D1=False/executor_other; ans_pass C0=True D1=True",IDENTICAL_CALLS_DIFFERENT_TEXT,0,loss_to_loss,01e1c208-31dc-4ae6-89ae-da9efb73c7e3
False,executor_other,False,0,False,True,,terminal,[],False,executor_other,False,0,False,True,,terminal,[],IDENTICAL_CALLS_DIFFERENT_TEXT; tools C0=[] D1=[]; stop C0=terminal D1=terminal; exec C0=False/executor_other D1=False/executor_other; ans_pass C0=False D1=False,IDENTICAL_CALLS_DIFFERENT_TEXT,0,loss_to_loss,0214b225-23ae-4a8f-bb93-8fbaec94831c
True,none,True,2,True,True,130,terminal,"[""round_to_ceiling"", ""multiply_without_star""]",False,executor_other,True,2,False,True,,terminal,"[""round_to_ceiling"", ""multiply_without_star""]","REFERENCE_DIFFERENCE; tools C0=['round_to_ceiling', 'multiply_without_star'] D1=['round_to_ceiling', 'multiply_without_star']; stop C0=terminal D1=terminal; exec C0=True/none D1=False/executor_other; ans_pass C0=True D1=True",REFERENCE_DIFFERENCE,0,win_to_loss,0219f9a1-ced9-4e6d-9b99-1570e1178b66
True,none,False,2,False,True,1200,terminal,"[""subtract"", ""multiply""]",True,none,False,2,False,True,1200,terminal,"[""subtract"", ""multiply""]","IDENTICAL_CALLS_DIFFERENT_TEXT; tools C0=['subtract', 'multiply'] D1=['subtract', 'multiply']; stop C0=terminal D1=terminal; exec C0=True/none D1=True/none; ans_pass C0=False D1=False",IDENTICAL_CALLS_DIFFERENT_TEXT,0,loss_to_loss,037ab7a7-2503-4a04-9bde-f2d81c184790
True,none,False,1,False,True,28,terminal,"[""multiply""]",True,none,False,1,False,True,28,terminal,"[""multiply""]",IDENTICAL_CALLS_DIFFERENT_TEXT; tools C0=['multiply'] D1=['multiply']; stop C0=terminal D1=terminal; exec C0=True/none D1=True/none; ans_pass C0=False D1=False,IDENTICAL_CALLS_DIFFERENT_TEXT,0,loss_to_loss,038f3d86-b97b-49e6-b878-1b80c73fb744
True,none,False,2,False,True,1.8888666666666665,terminal,"[""multiply"", ""divide""]",True,none,False,2,False,True,1.8888666666666665,terminal,"[""multiply"", ""divide""]","IDENTICAL_CALLS_DIFFERENT_TEXT; tools C0=['multiply', 'divide'] D1=['multiply', 'divide']; stop C0=terminal D1=terminal; exec C0=True/none D1=True/none; ans_pass C0=False D1=False",IDENTICAL_CALLS_DIFFERENT_TEXT,2,loss_to_loss,047fb639-ca36-4a73-9407-507b8c3b4c5d
True,none,True,1,True,True,10.0,terminal,"[""divide""]",True,none,False,4,False,True,180.0,max_turns,"[""multiply"", ""multiply"", ""add"", ""divide""]","DIFFERENT_FIRST_TOOL; tools C0=['divide'] D1=['multiply', 'multiply', 'add', 'divide']; stop C0=terminal D1=max_turns; exec C0=True/none D1=True/none; ans_pass C0=True D1=False",DIFFERENT_FIRST_TOOL,0,win_to_loss,04bd68f8-3e77-4cda-b43f-c42616d95d33
False,executor_other,False,0,False,True,,terminal,[],False,executor_other,False,0,False,True,,terminal,[],IDENTICAL_TEXT; tools C0=[] D1=[]; stop C0=terminal D1=terminal; exec C0=False/executor_other D1=False/executor_other; ans_pass C0=False D1=False,IDENTICAL_TEXT,-1,loss_to_loss,04d81d58-98bf-4665-87aa-6eed765ce6f0
True,none,True,2,True,True,0.98125,terminal,"[""divide"", ""subtract""]",True,none,True,2,True,True,0.98125,terminal,"[""divide"", ""subtract""]","IDENTICAL_TEXT; tools C0=['divide', 'subtract'] D1=['divide', 'subtract']; stop C0=terminal D1=terminal; exec C0=True/none D1=True/none; ans_pass C0=True D1=True",IDENTICAL_TEXT,-1,win_to_win,05b1bdbd-de3f-4773-b867-990b6006aef2
