call_count_disclosed,dataset,fan_in_leakage,fan_out_leakage,gold_call_count,graph_edge_coverage,graph_leak_class,intermediate_variable_leakage,n_graph_edges_disclosed,operation_leakage,operation_sequence_leakage,passes_mode_budget,procedural_lead_count,query_mode,reference_source_coverage,schema_version,stage_label_count,stages_related_phrase,task_id
True,pilot4_train,0.0,0.0,3,2.0,COMPLETE,2,4,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,5,True,ttdf4_1b03df165413
True,pilot4_train,0.0,0.0,3,1.0,COMPLETE,0,2,,,False,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,True,ttdf4_e8c51b591fe3
True,pilot4_train,0.0,0.0,3,2.0,COMPLETE,2,4,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,5,True,ttdf4_cc89c8d0a9d2
True,pilot4_train,0.0,0.0,6,1.6667,COMPLETE,6,10,,,False,1,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,12,True,ttdf4_188f44ab6361
True,pilot4_train,0.0,0.0,6,0.8333,HIGH,0,5,,,False,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,True,ttdf4_721736204541
True,pilot4_train,0.0,0.0,2,2.0,COMPLETE,1,2,,,False,1,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,3,True,ttdf4_32a080d4233f
False,pilot4_train,0.0,0.0,2,0.0,NONE,0,0,,,True,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,False,ttdf4_0452c29d058e
False,pilot4_train,0.0,0.0,6,0.4,MEDIUM,2,2,,,True,2,PROCEDURAL_EXPLICIT,0.4,ttdf.graph_leak.v1,2,False,ttdf4_5cf862f23bf7
True,pilot4_train,0.0,0.0,6,1.6,COMPLETE,5,8,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,11,True,ttdf4_abaaf6587fcd
True,pilot4_train,0.0,0.0,8,1.875,COMPLETE,8,15,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,16,True,ttdf4_f226396f6f2f
True,pilot4_train,0.0,0.0,8,0.875,COMPLETE,3,7,,,False,0,SEMI_IMPLICIT,0.375,ttdf.graph_leak.v1,0,True,ttdf4_9fab238f94b6
True,pilot4_train,0.0,0.0,5,1.6,COMPLETE,5,8,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,10,True,ttdf4_7da0230c289f
True,pilot4_train,0.0,0.0,5,0.8,HIGH,1,4,,,False,0,SEMI_IMPLICIT,0.2,ttdf.graph_leak.v1,1,True,ttdf4_c6e3b29602c1
False,pilot4_train,0.0,0.0,3,0.5,HIGH,1,1,,,True,2,PROCEDURAL_EXPLICIT,0.5,ttdf.graph_leak.v1,1,False,ttdf4_550491141f8e
True,pilot4_train,0.0,0.0,3,1.5,COMPLETE,2,3,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,5,True,ttdf4_c33c8c18f455
True,pilot4_train,0.0,0.0,2,2.0,COMPLETE,1,2,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,3,True,ttdf4_f71e46792933
True,pilot4_train,0.0,0.0,2,1.0,COMPLETE,0,1,,,False,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,True,ttdf4_bcc247ba5118
True,pilot4_train,0.0,0.0,7,1.5714,COMPLETE,7,11,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,14,True,ttdf4_f4e4aa2dadf7
True,pilot4_train,0.0,0.0,7,0.8571,COMPLETE,0,6,,,False,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,True,ttdf4_95f88fb93a17
True,pilot4_train,0.0,0.0,2,2.0,COMPLETE,1,2,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,3,True,ttdf4_7628b3777150
True,pilot4_train,0.0,0.0,2,1.0,COMPLETE,0,1,,,False,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,True,ttdf4_a53fa51c190c
True,pilot4_train,0.0,0.0,3,2.0,COMPLETE,2,4,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,5,True,ttdf4_525e616427cc
True,pilot4_train,0.0,0.0,3,1.0,COMPLETE,0,2,,,False,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,True,ttdf4_9f73e581e1ee
True,pilot4_train,0.0,0.0,6,0.8333,HIGH,1,5,,,False,0,SEMI_IMPLICIT,0.1667,ttdf.graph_leak.v1,0,True,ttdf4_4a3b07bffd0c
True,pilot4_train,0.0,0.0,6,1.8333,COMPLETE,6,11,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,12,True,ttdf4_bf10d06a5ee6
True,pilot4_train,0.0,0.0,2,2.0,COMPLETE,1,2,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,3,True,ttdf4_7d496e63f92a
True,pilot4_train,0.0,0.0,2,1.0,COMPLETE,0,1,,,False,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,True,ttdf4_93204e5ab903
True,pilot4_train,0.0,0.0,3,2.0,COMPLETE,2,4,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,5,True,ttdf4_e386b1fb9add
True,pilot4_train,0.0,0.0,3,1.0,COMPLETE,1,2,,,False,0,SEMI_IMPLICIT,0.5,ttdf.graph_leak.v1,0,True,ttdf4_acfeedab6487
True,pilot4_train,0.0,0.0,2,2.0,COMPLETE,1,2,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,3,True,ttdf4_3f4571eb93ca
False,pilot4_train,0.0,0.0,2,0.0,NONE,0,0,,,True,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,False,ttdf4_cd1649ebcc04
True,pilot4_train,0.0,0.0,2,2.0,COMPLETE,1,2,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,3,True,ttdf4_68615eac23aa
True,pilot4_train,0.0,0.0,2,1.0,COMPLETE,0,1,,,False,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,True,ttdf4_dd1906240dcf
True,pilot4_train,0.0,0.0,2,2.0,COMPLETE,1,2,,,False,0,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,3,True,ttdf4_9463c5ec9a6b
False,pilot4_train,0.0,0.0,2,0.0,NONE,0,0,,,True,0,SEMI_IMPLICIT,0.0,ttdf.graph_leak.v1,0,False,ttdf4_3a4d391de04d
True,pilot4_train,0.0,0.0,7,1.75,COMPLETE,8,14,,,False,1,GOAL_BASED_IMPLICIT,1.0,ttdf.graph_leak.v1,15,True,ttdf4_4ac4b1f2f8a0
True,pilot4_train,0.0,0.0,7,0.75,HIGH,3,6,,,False,0,SEMI_IMPLICIT,0.375,ttdf.graph_leak.v1,1,True,ttdf4_d2a36f75b7a6
