capability_family,example_primitives,n_primitives,n_surfaces,observed_uses,status
arithmetic.binary,"abs_difference, add, decrease_by_percent, divide",12,36,2130,OK
arithmetic.unary,"digit_sum, inverse, negate, ratio_to_percent",6,12,36,OK
arithmetic.reduction,"product_three, sum_three",2,4,,THIN
comparison,"is_greater, max_two, min_two",3,6,,OK
boolean.logic,"is_divisible_by, logical_and, logical_not, logical_or",4,8,,OK
rounding,"ceil_value, floor_value, round_direction, round_places",5,10,7,OK
statistics,"average_two, mean_three, mean_values, median_values",6,12,,OK
sequence.map,"cumulative_sums, offset_list, scale_list, sort_values_desc",4,8,,OK
sequence.filter,"filter_above, top_k_values",2,4,,THIN
sequence.reduce,"count_values, max_values, min_values, sum_values",4,8,,OK
sequence.index,"index_of_max, value_at_position",2,4,,THIN
sequence.combine,"append_value, concat_lists, join_values",3,6,,OK
dictionary.lookup,lookup_unit_factor,1,2,,THIN
dictionary.update,apply_rate_override,1,2,,THIN
string.parse,"file_extension, parse_number",2,4,,THIN
string.transform,"text_length, text_upper",2,4,,THIN
string.format,"concat_texts, format_with_unit, tag_value",3,6,,OK
conversion.numeric,"celsius_to_fahrenheit, fahrenheit_to_celsius, km_to_meters, meters_to_km",6,12,,OK
conversion.text,"format_fixed, number_to_string",2,4,,THIN
geometry,"circle_area, hypotenuse, rectangle_area, rectangle_perimeter",4,8,3,OK
date_time,"days_to_hours, hours_to_minutes, minutes_since_midnight, weeks_to_days",4,8,,OK
path_url,"domain_of_url, join_path_segments",2,4,,THIN
bitwise,"bitwise_and, bitwise_or, bitwise_xor, left_shift",4,8,,OK
validation,"clamp, is_non_negative, is_within_range",3,6,,OK
classification.deterministic,"classify_threshold, grade_band",2,4,,THIN
