metric,pilot3,pilot4_train600,pilot4_selected,target_dev200,direction,verdict,n_admissible_topologies,caveat
mean_call_count,4.0917,3.8783,3.956,4.195,closer_to_target_is_better,further_from_target,,"structural only; matching the profile is the goal, not maximisation"
join_rate,0.5133,0.5167,0.52,0.43,closer_to_target_is_better,further_from_target,,"measured over the whole set, not per bucket"
multi_join_rate,0.0,0.2133,0.229,0.125,higher_is_better,improved,,pilot3 weakness; higher is only better up to the profile
fan_out_rate,0.0,0.27,0.273,0.0,coverage_required_above_profile,coverage_added,,"dev-200 contains no fan-out, so this is deliberate coverage beyond the measured profile and a known distribution-mismatch risk"
reuse_rate,0.0,0.27,0.273,0.0,coverage_required_above_profile,coverage_added,,"dev-200 contains no output reuse, so this is deliberate coverage beyond the measured profile and a known distribution-mismatch risk"
late_reference_rate,0.5133,0.5167,0.52,0.435,closer_to_target_is_better,further_from_target,,profile-relative
mean_reference_distance,1.2788,1.323,1.3359,1.2378,closer_to_target_is_better,further_from_target,,long references are harder to track but also rarer in the benchmark
mean_depth,2.3067,2.18,2.21,,closer_to_target_is_better,descriptive,,descriptive
mean_type_transitions,0.1433,0.3433,0.336,0.085,higher_is_better,improved,,type transitions exercise conversion capabilities
plan_leak_rate,0.6417,0.0967,0.091,0.035,lower_is_better,improved,,"rule-based classifier, not a human judgement of realism"
goal_based_share,0.01,0.6533,0.646,0.7,closer_to_target_is_better,closer_to_target,,target taken from the dev-200 profile
mean_operation_explicitness,0.8378,0.235,0.2349,0.1645,lower_is_better,improved,,lexicon-based; a low value is not proof the task is implicit
mean_sequence_leakage,0.7922,0.2141,0.2148,0.152,lower_is_better,improved,,only defined when at least two operations are cued
mean_procedural_cue_count,6.6833,1.3467,1.308,0.645,lower_is_better,improved,,"counts surface cues, not reasoning difficulty"
n_distinct_tool_names,132,190,190,,higher_is_better,improved,,raw surface vocabulary size
n_distinct_output_keys,1,8,8,,higher_is_better,improved,,affects reference-format diversity
output_key_entropy,0.0,0.7972,0.7993,,higher_is_better,improved,,"normalised entropy, comparable across sizes"
n_distinct_tool_combinations,582,599,995,,higher_is_better,improved,,absolute count scales with n
tool_combination_entropy,0.9973,0.9999,0.9997,,higher_is_better,improved,,"normalised, size-robust"
n_distinct_primitives,0,80,80,,higher_is_better,improved,,capability breadth proxy
