answer_leak_in_question,constants_mentioned_in_question,explicit_op_word_count,generation_cell,mean_gold_offered_position,n_offered,program_hash,question_skeleton,sample_id,tool_combo
0,1,0,G_5call_branch_aggregate_tool_catalog_00,5.4,14,049533131b94,an engineer checks a report. step #: subtract # from #. step #: compute how many whole times # fits into that result. step #: round # up to a whole number. step #: negate #. step #: add up the result ,ttdf_2134f49bd3ad,reduce_amount|full_groups_of|round_up_whole|flip_sign|total_of_three_parts
0,1,0,G_5call_fan_in_long_horizon_00,3.2,11,fb424ba521e7,"you will need to find the ratio of # to #, then square that result, then increase the result by # percent, then increase # by # percent first, and lastly, for the final goal, find the percent of the r",ttdf_a59ae8939796,proportion_between|self_product|grow_by_rate|grow_by_rate|portion_by_rate
0,1,0,A_2call_linear_tool_catalog_02,6.5,15,db070cbb7ac5,"determine the outcome of this procedure: round # to the nearest whole number; subtract # from that result. (note: the team has # members, which is not needed here.)",ttdf_562e14e68ec4,nearest_integer|subtract
0,1,1,G_4call_fan_in_variable_pla_00,5.75,11,892f8b3b4885,"find the remainder of # divided by #, then convert # degrees fahrenheit to celsius, then compute the ratio of the result of step # to that result, and finally build an identifier from the prefix 'orde",ttdf_4753fd527f32,leftover_after_grouping|celsius_from_fahrenheit|proportion_between|compose_reference_code
0,1,1,A_3call_fan_in_variable_pla_00,5.333333333333333,12,e335a5e5ca7c,"first, take the negative of #. then, increase the value of # by # percent, that result, and finally, divide the result of step # by the previous value.",ttdf_a67dd02aea22,negate|increase_by_percent|divide
0,1,2,G_6pcall_linear_long_horizon_00,4.857142857142857,8,56113ab0f328,"first, determine the ratio of # to #, then round the previous value down to the nearest whole number. next, take the ratio of that result to #, then divide that result by #. after that, work out that ",ttdf_2930e4ea8e12,proportion_between|round_down_whole|proportion_between|per_unit_value|portion_by_rate|remaining_after|per_unit_value
0,1,2,A_6pcall_fan_in_tool_catalog_01,8.125,16,8426c2926947,an engineer checks a report. step #: add # and #. step #: multiply # by that result. step #: compute # percent of that result. step #: subtract # from that result. step #: divide that result by #. ste,ttdf_5142b25ba487,sum_two_numbers|product_of_numbers|percent_of|subtract|quotient_of|sqrt|seconds_to_full_minutes|ratio_of
0,1,0,A_2call_linear_continuation_01,4.0,10,b6ce636fab71,"first, find the reciprocal of #, and then, determine if that result is greater than #.",ttdf_3890bd39e665,inverse|is_greater
0,1,0,G_2call_linear_continuation_00,2.5,8,b03b6805ebf6,"first, take the square root of #, then take the opposite of that result.",ttdf_532d50f0732d,root_extract|flip_sign
0,1,1,G_4call_fan_in_variable_pla_00,5.75,11,83ac7df5feea,"to start, find how many times # fits into # as a whole number. then, convert # hours to minutes. afterwards, calculate the result of step # percent of that minutes. last, form an identifier using 'bat",ttdf_0912a2d9b2db,full_groups_of|minutes_from_hours|portion_by_rate|compose_reference_code
0,1,1,G_6pcall_fan_in_long_horizon_00,3.875,10,416222383ddb,start by transforming # degrees celsius to fahrenheit. lower that result by # percent. negate that result. compute the ratio of # to the result. find the remainder of the result when divided by #. dec,ttdf_206eda2ac240,fahrenheit_from_celsius|shrink_by_rate|flip_sign|proportion_between|leftover_after_grouping|shrink_by_rate|fahrenheit_from_celsius|reduce_amount
